service_id,date,exception_type
40,20120128,2
40,20120129,2
40,20120130,1
40,20120131,2
40,20120201,2
40,20120202,2
40,20120203,1
40,20120204,2
40,20120205,2
40,20120206,1
40,20120207,2
40,20120208,2
40,20120209,2
40,20120210,1
40,20120211,2
40,20120212,2
40,20120213,1
40,20120214,2
40,20120215,2
40,20120216,2
40,20120217,1
40,20120218,2
40,20120219,2
40,20120220,2
40,20120221,2
40,20120222,2
40,20120223,2
40,20120224,2
40,20120225,2
40,20120226,2
40,20120227,1
40,20120228,2
40,20120229,2
40,20120301,2
40,20120302,1
40,20120303,2
40,20120304,2
40,20120305,1
40,20120306,2
40,20120307,2
40,20120308,2
40,20120309,1
40,20120310,2
40,20120311,2
40,20120312,1
40,20120313,2
40,20120314,2
40,20120315,2
40,20120316,1
40,20120317,2
40,20120318,2
40,20120319,1
40,20120320,2
40,20120321,2
40,20120322,2
40,20120323,1
40,20120324,2
40,20120325,2
40,20120326,1
40,20120327,2
40,20120328,2
40,20120329,2
40,20120330,1
41,20120102,2
41,20120103,2
41,20120104,1
41,20120105,2
41,20120106,1
41,20120107,2
41,20120108,2
41,20120109,2
41,20120110,2
41,20120111,1
41,20120112,2
41,20120113,1
41,20120114,2
41,20120115,2
41,20120116,2
41,20120117,2
41,20120118,1
41,20120119,2
41,20120120,1
41,20120121,2
41,20120122,2
41,20120123,2
41,20120124,2
41,20120125,1
41,20120126,2
41,20120127,1
41,20120128,2
41,20120129,2
41,20120130,2
41,20120131,2
41,20120201,1
41,20120202,2
41,20120203,1
41,20120204,2
41,20120205,2
41,20120206,2
41,20120207,2
41,20120208,1
41,20120209,2
41,20120210,1
41,20120211,2
41,20120212,2
41,20120213,2
41,20120214,2
41,20120215,1
41,20120216,2
41,20120217,1
41,20120218,2
41,20120219,2
41,20120220,2
41,20120221,2
41,20120222,2
41,20120223,2
41,20120224,2
41,20120225,2
41,20120226,2
41,20120227,2
41,20120228,2
41,20120229,1
41,20120301,2
41,20120302,1
41,20120303,2
41,20120304,2
41,20120305,2
41,20120306,2
41,20120307,1
41,20120308,2
41,20120309,1
41,20120310,2
41,20120311,2
41,20120312,2
41,20120313,2
41,20120314,1
41,20120315,2
41,20120316,1
41,20120317,2
41,20120318,2
41,20120319,2
41,20120320,2
41,20120321,1
41,20120322,2
41,20120323,1
41,20120324,2
41,20120325,2
41,20120326,2
41,20120327,2
41,20120328,1
41,20120329,2
41,20120330,1
42,20120102,1
42,20120103,1
42,20120104,2
42,20120105,2
42,20120106,1
42,20120107,2
42,20120108,2
42,20120109,1
42,20120110,1
42,20120111,2
42,20120112,2
42,20120113,1
42,20120114,2
42,20120115,2
42,20120116,1
42,20120117,1
42,20120118,2
42,20120119,2
42,20120120,1
42,20120121,2
42,20120122,2
42,20120123,1
42,20120124,1
42,20120125,2
42,20120126,2
42,20120127,1
42,20120128,2
42,20120129,2
42,20120130,1
42,20120131,1
42,20120201,2
42,20120202,2
42,20120203,1
42,20120204,2
42,20120205,2
42,20120206,1
42,20120207,1
42,20120208,2
42,20120209,2
42,20120210,1
42,20120211,2
42,20120212,2
42,20120213,1
42,20120214,1
42,20120215,2
42,20120216,2
42,20120217,1
42,20120218,2
42,20120219,2
42,20120220,2
42,20120221,2
42,20120222,2
42,20120223,2
42,20120224,2
42,20120225,2
42,20120226,2
42,20120227,1
42,20120228,1
42,20120229,2
42,20120301,2
42,20120302,1
42,20120303,2
42,20120304,2
42,20120305,1
42,20120306,1
42,20120307,2
42,20120308,2
42,20120309,1
42,20120310,2
42,20120311,2
42,20120312,1
42,20120313,1
42,20120314,2
42,20120315,2
42,20120316,1
42,20120317,2
42,20120318,2
42,20120319,1
42,20120320,1
42,20120321,2
42,20120322,2
42,20120323,1
42,20120324,2
42,20120325,2
42,20120326,1
42,20120327,1
42,20120328,2
42,20120329,2
42,20120330,1
43,20120102,1
43,20120103,2
43,20120104,1
43,20120105,1
43,20120106,2
43,20120107,2
43,20120108,2
43,20120109,1
43,20120110,2
43,20120111,1
43,20120112,1
43,20120113,2
43,20120114,2
43,20120115,2
43,20120116,1
43,20120117,2
43,20120118,1
43,20120119,1
43,20120120,2
43,20120121,2
43,20120122,2
43,20120123,1
43,20120124,2
43,20120125,1
43,20120126,1
43,20120127,2
43,20120128,2
43,20120129,2
43,20120130,1
43,20120131,2
43,20120201,1
43,20120202,1
43,20120203,2
43,20120204,2
43,20120205,2
43,20120206,1
43,20120207,2
43,20120208,1
43,20120209,1
43,20120210,2
43,20120211,2
43,20120212,2
43,20120213,1
43,20120214,2
43,20120215,1
43,20120216,1
43,20120217,2
43,20120218,2
43,20120219,2
43,20120220,2
43,20120221,2
43,20120222,2
43,20120223,2
43,20120224,2
43,20120225,2
43,20120226,2
43,20120227,1
43,20120228,2
43,20120229,1
43,20120301,1
43,20120302,2
43,20120303,2
43,20120304,2
43,20120305,1
43,20120306,2
43,20120307,1
43,20120308,1
43,20120309,2
43,20120310,2
43,20120311,2
43,20120312,1
43,20120313,2
43,20120314,1
43,20120315,1
43,20120316,2
43,20120317,2
43,20120318,2
43,20120319,1
43,20120320,2
43,20120321,1
43,20120322,1
43,20120323,2
43,20120324,2
43,20120325,2
43,20120326,1
43,20120327,2
43,20120328,1
43,20120329,1
43,20120330,2
44,20120102,2
44,20120103,1
44,20120104,1
44,20120105,2
44,20120106,2
44,20120107,2
44,20120108,2
44,20120109,2
44,20120110,1
44,20120111,1
44,20120112,2
44,20120113,2
44,20120114,2
44,20120115,2
