stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url
11031148,Svartholen,11031148,58.913180,5.682631,http://gt.rkt.no/H11031148
11031152,Grannesveien,11031152,58.927195,5.698048,http://gt.rkt.no/H11031152
11241154,Prof. Olav Hanssens vei,11241154,58.933525,5.697690,http://gt.rkt.no/H11241154
11031155,Prof. Olav Hanssens vei,11031155,58.934333,5.697351,http://gt.rkt.no/H11031155
11031156,UiS Vest,11031156,58.938996,5.691846,http://gt.rkt.no/H11031156
11031157,Gosenstubben,11031157,58.939845,5.688695,http://gt.rkt.no/H11031157
11031158,Jernaldergården,11031158,58.941010,5.696190,http://gt.rkt.no/H11031158
11031159,Jernaldergården,11031159,58.941151,5.697386,http://gt.rkt.no/H11031159
11031160,Folkeviseveien,11031160,58.942143,5.699277,http://gt.rkt.no/H11031160
11031161,Folkeviseveien,11031161,58.942575,5.700726,http://gt.rkt.no/H11031161
11031162,Tjodveien,11031162,58.942980,5.698210,http://gt.rkt.no/H11031162
11031163,Gangarstien,11031163,58.943435,5.696395,http://gt.rkt.no/H11031163
11031164,Gangarstien,11031164,58.944160,5.695750,http://gt.rkt.no/H11031164
11031165,Jernalderveien,11031165,58.945139,5.693627,http://gt.rkt.no/H11031165
11031166,Jernalderveien,11031166,58.945441,5.692987,http://gt.rkt.no/H11031166
11031167,Norvald Frafjords gate,11031167,58.945470,5.689860,http://gt.rkt.no/H11031167
11031168,Norvald Frafjords gate,11031168,58.945498,5.690378,http://gt.rkt.no/H11031168
11031169,Madlavollveien,11031169,58.943150,5.686250,http://gt.rkt.no/H11031169
11031170,Sofus Bugges gate,11031170,58.942918,5.684865,http://gt.rkt.no/H11031170
11031171,Sofus Bugges gate,11031171,58.942235,5.682715,http://gt.rkt.no/H11031171
11031172,Gosen,11031172,58.939657,5.686257,http://gt.rkt.no/H11031172
11031173,Gosen,11031173,58.939461,5.687766,http://gt.rkt.no/H11031173
11031174,Madlamark kirke,11031174,58.942820,5.682230,http://gt.rkt.no/H11031174
11031175,Madlamark kirke,11031175,58.942980,5.681890,http://gt.rkt.no/H11031175
11031176,Bjørn Farmanns gate,11031176,58.945090,5.681730,http://gt.rkt.no/H11031176
11031177,Skjalgs gate,11031177,58.946420,5.680850,http://gt.rkt.no/H11031177
11031178,Blancas gate,11031178,58.948890,5.680390,http://gt.rkt.no/H11031178
11031179,Blancas gate,11031179,58.948970,5.680230,http://gt.rkt.no/H11031179
11031180,Klovsteinveien,11031180,58.950878,5.683106,http://gt.rkt.no/H11031180
11031181,Molkeholen,11031181,58.952150,5.682770,http://gt.rkt.no/H11031181
11031182,Madlakrossen hlp. 4,11031182,58.953560,5.683920,http://gt.rkt.no/H11031182
11031183,Madlakrossen hlp. 3,11031183,58.953620,5.683270,http://gt.rkt.no/H11031183
11031184,Morgedalsveien,11031184,58.954050,5.688180,http://gt.rkt.no/H11031184
11031185,Sonja Henies gate,11031185,58.952220,5.688102,http://gt.rkt.no/H11031185
11031186,Sonja Henies gate,11031186,58.951754,5.688865,http://gt.rkt.no/H11031186
11031187,Sondre Norheims gate,11031187,58.949510,5.691920,http://gt.rkt.no/H11031187
11031188,Sondre Norheims gate,11031188,58.949610,5.693120,http://gt.rkt.no/H11031188
11031189,Tjensvolltorget,11031189,58.949410,5.696700,http://gt.rkt.no/H11031189
11031190,Tjensvolltorget,11031190,58.949310,5.696680,http://gt.rkt.no/H11031190
11031191,Tellusveien,11031191,58.948220,5.705450,http://gt.rkt.no/H11031191
11031192,Tellusveien,11031192,58.947835,5.705574,http://gt.rkt.no/H11031192
11031193,Tellusveien,11031193,58.946040,5.706360,http://gt.rkt.no/H11031193
11031194,Tellusveien,11031194,58.946513,5.707300,http://gt.rkt.no/H11031194
11031196,Tjensvollveien,11031196,58.948641,5.710582,http://gt.rkt.no/H11031196
11031197,Ullandhaugveien,11031197,58.950064,5.712815,http://gt.rkt.no/H11031197
11031198,Ullandhaugveien,11031198,58.949580,5.711710,http://gt.rkt.no/H11031198
11031199,S. Bergsliens gate,11031199,58.949640,5.714900,http://gt.rkt.no/H11031199
11031200,Kari Trestakks vei,11031200,58.947414,5.716038,http://gt.rkt.no/H11031200
11031205,Oscar Wistings gate,11031205,58.946488,5.717391,http://gt.rkt.no/H11031205
11031206,Saxemarka,11031206,58.947420,5.719990,http://gt.rkt.no/H11031206
11031207,Mosvangen camping,11031207,58.951983,5.716705,http://gt.rkt.no/H11031207
11031208,Mosvangen camping,11031208,58.952263,5.716404,http://gt.rkt.no/H11031208
11031215,Tjensvollkrysset,11031215,58.955940,5.698200,http://gt.rkt.no/H11031215
